bgg_id,score,score_weighted,rank_weighted,rank
2539,0.0194869,0.0218497,6751,6991
680,0.0194562,0.0189789,7097,6992
34819,0.0194511,0.0168503,7393,6993
167298,0.019446,0.0239772,6527,6994
6251,0.019446,0.0204688,6898,6995
254639,0.019446,0.0140862,7855,6996
147206,0.0194306,0.0235037,6569,6997
286109,0.0194306,0.0187826,7124,6998
63,0.0194306,0.0186781,7146,6999
308500,0.0194306,0.0176527,7289,7000
312767,0.0194051,0.0204497,6902,7001
233033,0.0193999,0.0193216,7039,7002
1197,0.0193948,0.0184182,7173,7003
85,0.0193744,0.0272479,6248,7004
223777,0.0193744,0.0214766,6795,7005
17922,0.0193744,0.0210784,6839,7006
205877,0.0193693,0.0192447,7053,7007
41019,0.0193693,0.0168179,7397,7008
37349,0.0193641,0.018111,7222,7009
187550,0.0193641,0.0160225,7520,7010
303159,0.0193539,0.0208478,6857,7011
684,0.0193437,0.0161962,7493,7012
5516,0.0193283,0.0237497,6544,7013
10579,0.0193232,0.0229151,6639,7014
32409,0.0193232,0.0171376,7352,7015
147168,0.0193181,0.018693,7144,7016
171339,0.0193181,0.0158252,7555,7017
6617,0.0192874,0.0161704,7496,7018
140594,0.0192823,0.0169111,7383,7019
23348,0.0192772,0.0232362,6599,7020
122236,0.0192567,0.0203216,6912,7021
229741,0.0192567,0.0189631,7100,7022
168582,0.0192516,0.0183031,7193,7023
252556,0.0192363,0.0202733,6915,7024
242742,0.0192209,0.0136462,7932,7025
248830,0.0191902,0.0194753,7021,7026
176980,0.0191851,0.0225175,6681,7027
242589,0.0191851,0.0215988,6779,7028
18422,0.01918,0.0169763,7376,7029
17274,0.0191749,0.0204217,6903,7030
210052,0.0191544,0.0191169,7074,7031
12604,0.0191493,0.021996,6740,7032
2236,0.0191493,0.0199298,6956,7033
169375,0.0191493,0.0190657,7082,7034
171351,0.0191442,0.0154202,7616,7035
292899,0.0191391,0.0216234,6773,7036
274548,0.0191391,0.0202547,6919,7037
197285,0.0191238,0.0189546,7103,7038
279900,0.0191238,0.0169049,7387,7039
174584,0.0191186,0.0178138,7258,7040
3022,0.0191186,0.0165808,7439,7041
269403,0.0191084,0.0169984,7371,7042
